ID,query
0,Finlandia
1,Impresora
2,Viernes
3,Rey (ajedrez)
4,Fibra textil
5,República Checa
6,Comunicación inalámbrica
7,Cementerio del Père Lachaise
8,Cápsula del tiempo
9,Ovni
10,Accidente de Chernóbil
11,Ceres (planeta enano)
12,Moscú
13,Nueva Zelanda
14,Hierro
15,Cloro
16,Ajedrez
17,Manganeso
18,San Cristóbal y Nieves
19,Arabia Saudita
20,Selenio
21,Narcótico
22,Corazón
23,Jansenismo
24,Praseodimio
25,Georgia (Estados Unidos)
26,Mar del Norte
27,Gordiano I
28,República de Carelia
29,Sexo oral
30,Ácido clorhídrico
31,Óblast de Tula
32,Ío (satélite)
33,Titania (satélite)
34,Óblast de Rostov
35,Java (isla)
36,Tenis de mesa
37,36 a. C.
38,Amoníaco
39,Emirato de Fuyaira
40,33 a. C.
41,Batalla de la Montaña Blanca
42,Borsch
43,Júpiter (mitología)
44,Dólar estadounidense
45,Krai de Stávropol
46,Eduardo II de Inglaterra
47,República de Kabardia-Balkaria
48,Memoria de acceso aleatorio
49,República de Mordovia
50,Yoshkar-Olá
51,Mar Caspio
52,Andalucía
53,Islas Mentawai
54,Lodi (Italia)
55,Caronte (satélite)
56,Blagovéshchensk
57,Siglo XVIII
58,Genoma
59,Biología celular
60,Dinastía Han
61,Socialismo
62,Alemania nazi
63,Culicidae
64,Ovis orientalis aries
65,Voz humana
66,Proyecto GNU
67,Alejo I de Rusia
68,Esqueleto
69,Idioma rumano
70,Olimpiada Internacional de Matemática
71,Desastre natural
72,Aminoácido
73,Siglo IV
74,Atmósfera
75,Capital (economía)
76,Poema de Gilgamesh
77,Violonchelo
78,Felipe V de Francia
79,Real Club Celta de Vigo
80,Real Club Deportivo Español
81,Pegaso (constelación)
82,Patrimonio de la Humanidad
83,Idioma turcomano
84,Delphinus (constelación)
85,Idioma gallego
86,Dusambé
87,Hígado
88,Sufismo
89,Islas Malvinas
90,Suetonio
91,Geriatría
92,Eridanus
93,Osa Menor
94,Tauro (constelación)
95,Lupus (constelación)
96,Juguete sexual
97,Tornillo
98,Siglo XXII
99,Región H II
100,Glúcido
101,Rock alternativo
102,Arte marcial
103,Interacción débil
104,Acero
105,Fisión nuclear
106,Número complejo
107,Dinastía Lodi
108,Esgrima
109,Infecciones de transmisión sexual
110,Gironda
111,Edad Media
112,Móvil perpetuo
113,Golfo de México
114,Comenio
115,Pólvora
116,Amberes
117,Leopoldo I de Bélgica
118,Helado
119,Mesoamérica
120,Saboya
121,Darwin (sistema operativo)
122,Vladimiro I de Kiev
123,Catalina I de Rusia
124,Esquisto
125,Crésida (satélite)
126,Puck (satélite)
127,Provincia de Brindisi
128,Provincia de Cosenza
129,Provincia de Forlì-Cesena
130,Provincia de Lecco
131,Provincia de Sácer
132,Provincia de Siena
133,Hueso esfenoides
134,Mandíbula
135,Circunferencia
136,Matrioshka
137,Aeropuerto Internacional Kingsford Smith
138,Mayoría de edad
139,Cloaca (zoología)
140,Pseudoscorpionida
141,Alcalino
142,Metal de transición
143,Balancín (ocio)
144,Juan Carlos I de España
145,Pascua
146,Ciencias de la computación
147,Antisemitismo
148,Concreto
149,Equilibrio de Nash
150,Protestantismo
151,Poder (social y político)
152,Presidente de Alemania
153,Petroselinum crispum
154,Lenguas frisonas
155,Crustacea
156,Pyrrhula pyrrhula
157,Carduelis carduelis
158,345 a. C.
159,Alauda arvensis
160,Dendrocopos major
161,El viejo y el mar
162,Sonda espacial
163,Gavia stellata
164,Cardenal Richelieu
165,Baño turco
166,Lipoproteína
167,Permeabilidad magnética
168,Tringa stagnatilis
169,Nucleótido
170,Flavín adenín dinucleótido
171,Calendario musulmán
172,Aeropuerto de Bruselas
173,Tercer principio de la termodinámica
174,Idioma avéstico
175,Ensayo clínico
176,Dólar de Hong Kong
177,Obscenidad
178,Gran Canal de China
179,Batalla de Maratón
180,Natación (deporte)
181,Problema de los puentes de Königsberg
182,Idioma friulano
183,Alfabeto hebreo
184,Lenguas caucásicas noroccidentales
185,Lenguas tibetano-birmanas
186,Idioma tuvano
187,Cataratas del Niágara
188,Imperio ruso
189,Chino wu
190,Éufrates
191,Canal de la Mancha
192,Mitología griega
193,Tridimensional
194,Oficina de Correos
195,44 a. C.
196,Antiguo eslavo eclesiástico
197,Poder ejecutivo
198,Ruta de la seda
199,Tales de Mileto
200,Ursus arctos
201,Neolítico
202,Idioma maorí
203,Lenguaje de marcado
204,Andrónico IV Paleólogo
205,Atenea
206,Mar de la China Meridional
207,Consonante
208,Enrique VIII de Inglaterra
209,Cocción
210,Noticia
211,Microeconomía
212,Latón
213,Universidad Kim Il-sung
214,Bebida
215,Troposfera
216,Acre (Brasil)
217,Plaza Roja
218,Asiria
219,48 a. C.
220,70 a. C.
221,Aquila chrysaetos
222,Autopsia
223,60 a. C.
224,Oda a la Alegría
225,Basilio I
226,Constantino VII
227,Tiberio III
228,Romano I
229,Basilio II
230,Miguel V
231,Romano II
232,74 a. C.
233,Distrito federal del Lejano Oriente
234,Demócrito
235,Apocalipsis
236,Arcilla
237,Ricardo I de Inglaterra
238,92 a. C.
239,146 a. C.
240,110 a. C.
241,Bisexualidad
242,Cataratas Victoria
243,Isla Wake
244,Pompeya
245,Hembra
246,Medio ambiente natural
247,Grigori Rasputín
248,206 a. C.
249,Ontología
250,Matriz (matemáticas)
251,Leyenda
252,Ideal (teoría de anillos)
253,241 a. C.
254,Calendario hebreo
255,148 a. C.
256,189 a. C.
257,152 a. C.
258,Cemento
259,237 a. C.
260,239 a. C.
261,229 a. C.
262,184 a. C.
263,197 a. C.
264,Flecha
265,191 a. C.
266,Guerra franco-prusiana
267,Parque nacional
268,Premio Pulitzer
269,165 a. C.
270,Islas del Príncipe Eduardo
271,Activo (contabilidad)
272,Harry Potter y el cáliz de fuego
273,154 a. C.
274,170 a. C.
275,111 a. C.
276,Dogma central de la biología molecular
277,Protocolo de Kioto
278,Arpa
279,Historia económica
280,158 a. C.
281,Brassica oleracea var. italica
282,Asociación (derecho)
283,Gnosticismo
284,Desambiguación lingüística
285,Charles Ghankay Taylor
286,Braga (prenda de vestir)
287,León X
288,Arzobispo
289,Monstruo del lago Ness
290,Gran Ducado de Lituania
291,Enfermedad de Creutzfeldt-Jakob
292,Año litúrgico
293,Geografía física
294,Proyecto Mercury
295,Arancel
296,Óscar II de Suecia
297,Casimiro II el Justo
298,Configuración electrónica
299,Voivodato de Mazovia
300,Voivodato de Gran Polonia
301,Voivodato de Pomerania Occidental
302,Condado de Belknap
303,Cornelio
304,Lenguaje de máquina
305,Berlín Este
306,Hermanos Coen
307,Adriano VI
308,Segismundo de Luxemburgo
309,Federico Guillermo IV de Prusia
310,Mensajería instantánea
311,Crítica literaria
312,Veracruz de Ignacio de la Llave
313,Bandera de Dinamarca
314,Río Ottawa
315,Coordenadas polares
316,Cámara digital
317,Electrólisis
318,Devónico
319,Cuarta República Francesa
320,Hildegarda de Bingen
321,Primer Imperio francés
322,324 a. C.
323,Ciclo termodinámico
324,340 a. C.
325,312 a. C.
326,El Silmarillion
327,228 a. C.
328,Separación de poderes
329,294 a. C.
